date,areaName,newCasesByPublishDate,cumCasesByPublishDate,newDeaths28DaysByPublishDate,cumDeaths28DaysByPublishDate,cumDeaths28DaysByPublishDateRate,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDateRate
2020-09-27,West Midlands,569,,3,4619.0,77.8,6.0,4633.0,78.1
2020-09-28,West Midlands,327,,1,4620.0,77.9,6.0,4639.0,78.2
2020-09-29,West Midlands,614,,8,4628.0,78.0,3.0,4642.0,78.2
2020-09-30,West Midlands,428,,9,4637.0,78.1,6.0,4648.0,78.3
2020-10-01,West Midlands,606,,4,4641.0,78.2,8.0,4656.0,78.5
2020-10-02,West Midlands,408,,5,4646.0,78.3,5.0,4661.0,78.5
2020-10-03,West Midlands,1039,,8,4654.0,78.4,5.0,4666.0,78.6
2020-10-04,West Midlands,1644,,4,4658.0,78.5,8.0,4674.0,78.8
2020-10-05,West Midlands,906,,4,4662.0,78.6,5.0,4679.0,78.9
2020-10-06,West Midlands,1059,,3,4665.0,78.6,8.0,4687.0,79.0
2020-10-07,West Midlands,928,,5,4670.0,78.7,5.0,4692.0,79.1
2020-10-08,West Midlands,1098,,10,4680.0,78.9,11.0,4703.0,79.3
2020-10-09,West Midlands,805,,5,4685.0,79.0,2.0,4705.0,79.3
2020-10-10,West Midlands,1096,,0,4681.0,78.9,3.0,4708.0,79.3
2020-10-11,West Midlands,946,,16,4697.0,79.2,13.0,4721.0,79.6
2020-10-12,West Midlands,938,,4,4701.0,79.2,5.0,4726.0,79.6
2020-10-13,West Midlands,1086,,12,4713.0,79.4,8.0,4734.0,79.8
2020-10-14,West Midlands,1804,,6,4719.0,79.5,9.0,4743.0,79.9
2020-10-15,West Midlands,1240,,5,4724.0,79.6,12.0,4755.0,80.1
2020-10-16,West Midlands,1696,,13,4737.0,79.8,13.0,4768.0,80.4
2020-10-17,West Midlands,1120,,15,4752.0,80.1,14.0,4782.0,80.6
2020-10-18,West Midlands,1382,,5,4757.0,80.2,6.0,4788.0,80.7
2020-10-19,West Midlands,1383,,9,4766.0,80.3,11.0,4799.0,80.9
2020-10-20,West Midlands,1775,,12,4778.0,80.5,17.0,4816.0,81.2
2020-10-21,West Midlands,2427,,12,4790.0,80.7,12.0,4828.0,81.4
2020-10-22,West Midlands,1694,,12,4802.0,80.9,21.0,4849.0,81.7
2020-10-23,West Midlands,2180,,13,4815.0,81.1,23.0,4872.0,82.1
2020-10-24,West Midlands,2052,,11,4826.0,81.3,11.0,4883.0,82.3
2020-10-25,West Midlands,1439,,17,4843.0,81.6,17.0,4900.0,82.6
2020-10-26,West Midlands,2170,,16,4859.0,81.9,26.0,4926.0,83.0
2020-10-27,West Midlands,2228,,18,4877.0,82.2,26.0,4952.0,83.5
2020-10-28,West Midlands,2576,,25,4902.0,82.6,14.0,4966.0,83.7
2020-10-29,West Midlands,2357,,28,4930.0,83.1,25.0,4991.0,84.1
2020-10-30,West Midlands,2366,,15,4945.0,83.3,30.0,5021.0,84.6
2020-10-31,West Midlands,1793,,29,4974.0,83.8,33.0,5054.0,85.2
2020-11-01,West Midlands,3255,,26,5000.0,84.3,28.0,5082.0,85.6
2020-11-02,West Midlands,1726,,14,5014.0,84.5,38.0,5120.0,86.3
2020-11-03,West Midlands,2152,,42,5056.0,85.2,31.0,5151.0,86.8
2020-11-04,West Midlands,3256,,48,5104.0,86.0,38.0,5189.0,87.4
2020-11-05,West Midlands,2380,,26,5130.0,86.5,38.0,5227.0,88.1
2020-11-06,West Midlands,2872,,30,5160.0,87.0,36.0,5263.0,88.7
2020-11-07,West Midlands,2638,,32,5192.0,87.5,43.0,5306.0,89.4
2020-11-08,West Midlands,2365,,20,5212.0,87.8,38.0,5344.0,90.1
2020-11-09,West Midlands,2983,,35,5247.0,88.4,39.0,5383.0,90.7
