,areaCode,areaName,areaType,Area (sq km),Population,Population Density (per sq. km)
0,K02000001,UNITED KINGDOM,Country,242743.0,66796807.0,275.0
1,K03000001,GREAT BRITAIN,Country,228950.0,64903140.0,283.0
2,K04000001,ENGLAND AND WALES,Country,151047.0,59439840.0,394.0
3,E92000001,ENGLAND,Country,130311.0,56286961.0,432.0
4,E12000001,NORTH EAST,Region,8579.0,2669941.0,311.0
5,E06000047,County Durham,Unitary Authority,2226.0,530094.0,238.0
6,E06000005,Darlington,Unitary Authority,197.0,106803.0,541.0
7,E06000001,Hartlepool,Unitary Authority,94.0,93663.0,999.0
8,E06000002,Middlesbrough,Unitary Authority,54.0,140980.0,2616.0
9,E06000057,Northumberland,Unitary Authority,5018.0,322434.0,64.0
10,E06000003,Redcar and Cleveland,Unitary Authority,245.0,137150.0,560.0
11,E06000004,Stockton-on-Tees,Unitary Authority,205.0,197348.0,963.0
12,E11000007,Tyne and Wear (Met County),Metropolitan County,540.0,1141469.0,2114.0
13,E08000037,Gateshead,Metropolitan District,142.0,202055.0,1419.0
14,E08000021,Newcastle upon Tyne,Metropolitan District,113.0,302820.0,2669.0
15,E08000022,North Tyneside,Metropolitan District,82.0,207913.0,2526.0
16,E08000023,South Tyneside,Metropolitan District,64.0,150976.0,2343.0
17,E08000024,Sunderland,Metropolitan District,137.0,277705.0,2021.0
18,E12000002,NORTH WEST,Region,14108.0,7341196.0,520.0
19,E06000008,Blackburn with Darwen,Unitary Authority,137.0,149696.0,1092.0
20,E06000009,Blackpool,Unitary Authority,35.0,139446.0,3999.0
21,E06000049,Cheshire East,Unitary Authority,1166.0,384152.0,329.0
22,E06000050,Cheshire West and Chester,Unitary Authority,920.0,343071.0,373.0
23,E06000006,Halton,Unitary Authority,79.0,129410.0,1636.0
24,E06000007,Warrington,Unitary Authority,181.0,210014.0,1163.0
25,E10000006,Cumbria,County,6768.0,500012.0,74.0
26,E07000026,Allerdale,Non-metropolitan District,1242.0,97761.0,79.0
27,E07000027,Barrow-in-Furness,Non-metropolitan District,78.0,67049.0,861.0
28,E07000028,Carlisle,Non-metropolitan District,1038.0,108678.0,105.0
29,E07000029,Copeland,Non-metropolitan District,732.0,68183.0,93.0
30,E07000030,Eden,Non-metropolitan District,2142.0,53253.0,25.0
31,E07000031,South Lakeland,Non-metropolitan District,1535.0,105088.0,68.0
32,E11000001,Greater Manchester (Met County),Metropolitan County,1276.0,2835686.0,2222.0
33,E08000001,Bolton,Metropolitan District,140.0,287550.0,2057.0
34,E08000002,Bury,Metropolitan District,99.0,190990.0,1920.0
35,E08000003,Manchester,Metropolitan District,116.0,552858.0,4781.0
36,E08000004,Oldham,Metropolitan District,142.0,237110.0,1666.0
37,E08000005,Rochdale,Metropolitan District,158.0,222412.0,1407.0
38,E08000006,Salford,Metropolitan District,97.0,258834.0,2663.0
39,E08000007,Stockport,Metropolitan District,126.0,293423.0,2328.0
40,E08000008,Tameside,Metropolitan District,103.0,226493.0,2196.0
41,E08000009,Trafford,Metropolitan District,106.0,237354.0,2238.0
42,E08000010,Wigan,Metropolitan District,188.0,328662.0,1747.0
43,E10000017,Lancashire,County,2894.0,1219799.0,422.0
44,E07000117,Burnley,Non-metropolitan District,111.0,88920.0,803.0
45,E07000118,Chorley,Non-metropolitan District,203.0,118216.0,583.0
