Deaths,Data Marking,calendar-years,Time,administrative-geography,Geography,week-number,Week,sex,Sex,age-groups,AgeGroups,recorded-deaths,Death
15,,2020,2020,K04000001,England and Wales,week-44,Week 44 ending 30-Oct-20,all,All,15-19,15-19,total-registered-deaths,Total registered deaths
9392,,2020,2020,K04000001,England and Wales,week-33,Week 33 ending 14-Aug-20,all,All,all,All ages,total-registered-deaths,Total registered deaths
3,,2020,2020,K04000001,England and Wales,week-18,Week 18 ending 01-May-20,all,All,10-14,10-14,total-registered-deaths,Total registered deaths
5,,2020,2020,K04000001,England and Wales,week-31,Week 31 ending 31-Jul-20,all,All,5-9,05-09,total-registered-deaths,Total registered deaths
55,,2020,2020,K04000001,England and Wales,week-38,Week 38 ending 18-Sep-20,male,Male,35-39,35-39,total-registered-deaths,Total registered deaths
161,,2020,2020,K04000001,England and Wales,week-44,Week 44 ending 30-Oct-20,female,Female,55-59,55-59,total-registered-deaths,Total registered deaths
935,,2020,2020,K04000001,England and Wales,week-41,Week 41 ending 09-Oct-20,female,Female,85-89,85-89,total-registered-deaths,Total registered deaths
6,,2020,2020,K04000001,England and Wales,week-34,Week 34 ending 21-Aug-20,female,Female,20-24,20-24,total-registered-deaths,Total registered deaths
17953,,2020,2020,K04000001,England and Wales,week-18,Week 18 ending 01-May-20,all,All,all,All ages,total-registered-deaths,Total registered deaths
2817,,2020,2020,K04000001,England and Wales,week-16,Week 16 ending 17-Apr-20,all,All,75-79,75-79,total-registered-deaths,Total registered deaths
2039,,2020,2020,K04000001,England and Wales,week-7,Week 07 ending 14-Feb-20,all,All,85-89,85-89,total-registered-deaths,Total registered deaths
104,,2020,2020,K04000001,England and Wales,week-20,Week 20 ending 15-May-20,all,All,40-44,40-44,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-43,Week 43 ending 23-Oct-20,female,Female,1-4,01-04,total-registered-deaths,Total registered deaths
1687,,2020,2020,K04000001,England and Wales,week-40,Week 40 ending 02-Oct-20,all,All,85-89,85-89,total-registered-deaths,Total registered deaths
4,,2020,2020,K04000001,England and Wales,week-26,Week 26 ending 26-Jun-20,all,All,5-9,05-09,total-registered-deaths,Total registered deaths
6,,2020,2020,K04000001,England and Wales,week-23,Week 23 ending 05-Jun-20,male,Male,10-14,10-14,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-22,Week 22 ending 29-May-20,all,All,15-19,15-19,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
45,,2020,2020,K04000001,England and Wales,week-15,Week 15 ending 10-Apr-20,all,All,30-34,30-34,total-registered-deaths,Total registered deaths
66,,2020,2020,K04000001,England and Wales,week-31,Week 31 ending 31-Jul-20,female,Female,45-49,45-49,total-registered-deaths,Total registered deaths
24,,2020,2020,K04000001,England and Wales,week-20,Week 20 ending 15-May-20,male,Male,50-54,50-54,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
2,,2020,2020,K04000001,England and Wales,week-45,Week 45 ending 06-Nov-20,all,All,5-9,05-09,total-registered-deaths,Total registered deaths
2,,2020,2020,K04000001,England and Wales,week-27,Week 27 ending 03-Jul-20,male,Male,5-9,05-09,total-registered-deaths,Total registered deaths
9339,,2020,2020,K04000001,England and Wales,week-25,Week 25 ending 19-Jun-20,all,All,all,All ages,total-registered-deaths,Total registered deaths
671,,2020,2020,K04000001,England and Wales,week-37,Week 37 ending 11-Sep-20,all,All,65-69,65-69,total-registered-deaths,Total registered deaths
